Unnamed: 0,train,val,test
normal_001,True,False,False
normal_002,True,False,False
normal_003,True,False,False
normal_004,True,False,False
normal_005,True,False,False
normal_006,True,False,False
normal_007,True,False,False
normal_008,True,False,False
normal_009,True,False,False
normal_010,True,False,False
normal_011,True,False,False
normal_012,True,False,False
normal_013,True,False,False
normal_014,True,False,False
normal_015,True,False,False
normal_016,True,False,False
normal_017,True,False,False
normal_019,True,False,False
normal_021,True,False,False
normal_022,True,False,False
normal_023,True,False,False
normal_026,True,False,False
normal_027,True,False,False
normal_028,True,False,False
normal_029,True,False,False
normal_030,True,False,False
normal_031,True,False,False
normal_032,True,False,False
normal_033,True,False,False
normal_034,True,False,False
normal_035,True,False,False
normal_037,True,False,False
normal_038,True,False,False
normal_039,True,False,False
normal_040,True,False,False
normal_041,True,False,False
normal_042,True,False,False
normal_044,True,False,False
normal_045,True,False,False
normal_046,True,False,False
normal_047,True,False,False
normal_049,True,False,False
normal_050,True,False,False
normal_051,True,False,False
normal_053,True,False,False
normal_054,True,False,False
normal_055,True,False,False
normal_057,True,False,False
normal_058,True,False,False
normal_059,True,False,False
normal_060,True,False,False
normal_061,True,False,False
normal_064,True,False,False
normal_065,True,False,False
normal_066,True,False,False
normal_067,True,False,False
normal_068,True,False,False
normal_069,True,False,False
normal_070,True,False,False
normal_072,True,False,False
normal_073,True,False,False
normal_074,True,False,False
normal_075,True,False,False
normal_076,True,False,False
normal_077,True,False,False
normal_078,True,False,False
normal_079,True,False,False
normal_080,True,False,False
normal_081,True,False,False
normal_082,True,False,False
normal_083,True,False,False
normal_084,True,False,False
normal_085,True,False,False
normal_087,True,False,False
normal_088,True,False,False
normal_089,True,False,False
normal_090,True,False,False
normal_091,True,False,False
normal_092,True,False,False
normal_094,True,False,False
normal_095,True,False,False
normal_096,True,False,False
normal_097,True,False,False
normal_099,True,False,False
normal_100,True,False,False
normal_101,True,False,False
normal_102,True,False,False
normal_104,True,False,False
normal_106,True,False,False
normal_107,True,False,False
normal_110,True,False,False
normal_113,True,False,False
normal_114,True,False,False
normal_116,True,False,False
normal_117,True,False,False
normal_118,True,False,False
normal_119,True,False,False
normal_120,True,False,False
normal_121,True,False,False
normal_122,True,False,False
normal_123,True,False,False
normal_124,True,False,False
normal_125,True,False,False
normal_126,True,False,False
normal_127,True,False,False
normal_128,True,False,False
normal_130,True,False,False
normal_131,True,False,False
normal_133,True,False,False
normal_134,True,False,False
normal_136,True,False,False
normal_137,True,False,False
normal_141,True,False,False
normal_142,True,False,False
normal_144,True,False,False
normal_145,True,False,False
normal_146,True,False,False
normal_147,True,False,False
normal_148,True,False,False
normal_150,True,False,False
normal_151,True,False,False
normal_152,True,False,False
normal_153,True,False,False
normal_154,True,False,False
normal_155,True,False,False
normal_156,True,False,False
normal_157,True,False,False
tumor_001,True,False,False
tumor_002,True,False,False
tumor_003,True,False,False
tumor_005,True,False,False
tumor_006,True,False,False
tumor_007,True,False,False
tumor_008,True,False,False
tumor_010,True,False,False
tumor_012,True,False,False
tumor_013,True,False,False
tumor_015,True,False,False
tumor_016,True,False,False
tumor_018,True,False,False
tumor_019,True,False,False
tumor_020,True,False,False
tumor_022,True,False,False
tumor_023,True,False,False
tumor_024,True,False,False
tumor_025,True,False,False
tumor_026,True,False,False
tumor_028,True,False,False
tumor_030,True,False,False
tumor_031,True,False,False
tumor_032,True,False,False
tumor_034,True,False,False
tumor_035,True,False,False
tumor_037,True,False,False
tumor_038,True,False,False
tumor_039,True,False,False
tumor_040,True,False,False
tumor_041,True,False,False
tumor_042,True,False,False
tumor_043,True,False,False
tumor_045,True,False,False
tumor_047,True,False,False
tumor_050,True,False,False
tumor_051,True,False,False
tumor_052,True,False,False
tumor_053,True,False,False
tumor_054,True,False,False
tumor_055,True,False,False
tumor_056,True,False,False
tumor_057,True,False,False
tumor_058,True,False,False
tumor_059,True,False,False
tumor_060,True,False,False
tumor_061,True,False,False
tumor_062,True,False,False
tumor_063,True,False,False
tumor_064,True,False,False
tumor_065,True,False,False
tumor_066,True,False,False
tumor_067,True,False,False
tumor_068,True,False,False
tumor_070,True,False,False
tumor_071,True,False,False
tumor_073,True,False,False
tumor_074,True,False,False
tumor_075,True,False,False
tumor_076,True,False,False
tumor_077,True,False,False
tumor_078,True,False,False
tumor_079,True,False,False
tumor_080,True,False,False
tumor_081,True,False,False
tumor_082,True,False,False
tumor_083,True,False,False
tumor_084,True,False,False
tumor_086,True,False,False
tumor_087,True,False,False
tumor_089,True,False,False
tumor_090,True,False,False
tumor_091,True,False,False
tumor_092,True,False,False
tumor_093,True,False,False
tumor_094,True,False,False
tumor_095,True,False,False
tumor_096,True,False,False
tumor_098,True,False,False
tumor_099,True,False,False
tumor_102,True,False,False
tumor_103,True,False,False
tumor_104,True,False,False
tumor_106,True,False,False
tumor_107,True,False,False
tumor_108,True,False,False
tumor_109,True,False,False
tumor_110,True,False,False
tumor_111,True,False,False
normal_020,True,False,False
normal_159,True,False,False
normal_132,True,False,False
normal_018,True,False,False
normal_063,True,False,False
normal_052,True,False,False
normal_093,True,False,False
normal_103,True,False,False
normal_043,True,False,False
normal_140,True,False,False
normal_112,True,False,False
normal_109,True,False,False
normal_098,True,False,False
normal_024,True,False,False
normal_115,True,False,False
normal_025,True,False,False
tumor_033,True,False,False
tumor_072,True,False,False
tumor_021,True,False,False
tumor_048,True,False,False
tumor_004,True,False,False
tumor_097,True,False,False
tumor_009,True,False,False
tumor_046,True,False,False
tumor_027,True,False,False
tumor_011,True,False,False
tumor_017,True,False,False
normal_139,False,True,False
normal_071,False,True,False
normal_062,False,True,False
normal_160,False,True,False
normal_143,False,True,False
normal_138,False,True,False
normal_158,False,True,False
normal_135,False,True,False
normal_036,False,True,False
normal_149,False,True,False
normal_056,False,True,False
normal_048,False,True,False
normal_129,False,True,False
normal_105,False,True,False
normal_108,False,True,False
normal_111,False,True,False
tumor_088,False,True,False
tumor_036,False,True,False
tumor_105,False,True,False
tumor_100,False,True,False
tumor_085,False,True,False
tumor_049,False,True,False
tumor_069,False,True,False
tumor_101,False,True,False
tumor_029,False,True,False
tumor_044,False,True,False
tumor_014,False,True,False
test_104,False,False,True
test_083,False,False,True
test_096,False,False,True
test_094,False,False,True
test_084,False,False,True
test_106,False,False,True
test_079,False,False,True
test_109,False,False,True
test_057,False,False,True
test_012,False,False,True
test_053,False,False,True
test_121,False,False,True
test_038,False,False,True
test_046,False,False,True
test_098,False,False,True
test_009,False,False,True
test_125,False,False,True
test_007,False,False,True
test_089,False,False,True
test_054,False,False,True
test_036,False,False,True
test_043,False,False,True
test_017,False,False,True
test_016,False,False,True
test_033,False,False,True
test_061,False,False,True
test_058,False,False,True
test_095,False,False,True
test_014,False,False,True
test_110,False,False,True
test_031,False,False,True
test_003,False,False,True
test_059,False,False,True
test_117,False,False,True
test_047,False,False,True
test_082,False,False,True
test_093,False,False,True
test_091,False,False,True
test_029,False,False,True
test_019,False,False,True
test_072,False,False,True
test_122,False,False,True
test_006,False,False,True
test_052,False,False,True
test_076,False,False,True
test_103,False,False,True
test_028,False,False,True
test_086,False,False,True
test_090,False,False,True
test_074,False,False,True
test_099,False,False,True
test_129,False,False,True
test_070,False,False,True
test_008,False,False,True
test_105,False,False,True
test_119,False,False,True
test_035,False,False,True
test_037,False,False,True
test_002,False,False,True
test_024,False,False,True
test_018,False,False,True
test_060,False,False,True
test_078,False,False,True
test_034,False,False,True
test_023,False,False,True
test_127,False,False,True
test_001,False,False,True
test_004,False,False,True
test_042,False,False,True
test_075,False,False,True
test_066,False,False,True
test_118,False,False,True
test_056,False,False,True
test_116,False,False,True
test_015,False,False,True
test_048,False,False,True
test_071,False,False,True
test_051,False,False,True
test_067,False,False,True
test_100,False,False,True
test_114,False,False,True
test_097,False,False,True
test_081,False,False,True
test_032,False,False,True
test_092,False,False,True
test_108,False,False,True
test_062,False,False,True
test_120,False,False,True
test_073,False,False,True
test_102,False,False,True
test_045,False,False,True
test_128,False,False,True
test_011,False,False,True
test_085,False,False,True
test_064,False,False,True
test_010,False,False,True
test_055,False,False,True
test_101,False,False,True
test_130,False,False,True
test_005,False,False,True
test_025,False,False,True
test_107,False,False,True
test_087,False,False,True
test_020,False,False,True
test_068,False,False,True
test_080,False,False,True
test_040,False,False,True
test_069,False,False,True
test_123,False,False,True
test_041,False,False,True
test_021,False,False,True
test_065,False,False,True
test_111,False,False,True
test_022,False,False,True
test_027,False,False,True
test_077,False,False,True
test_126,False,False,True
test_063,False,False,True
test_113,False,False,True
test_039,False,False,True
test_026,False,False,True
test_044,False,False,True
test_112,False,False,True
test_115,False,False,True
test_124,False,False,True
test_013,False,False,True
test_050,False,False,True
test_030,False,False,True
test_088,False,False,True
